GAME_ID,GAME_DATE,SEASON,HOME_TEAM_ID,HOME_TEAM_NAME,HOME_PTS,HOME_WL,HOME_FGM,HOME_FGA,HOME_FG3M,HOME_FG3A,HOME_OREB,HOME_DREB,HOME_FTM,HOME_FTA,HOME_REB,HOME_AST,HOME_TOV,HOME_PLUS_MINUS,AWAY_TEAM_ID,AWAY_TEAM_NAME,AWAY_PTS,AWAY_WL,AWAY_FGM,AWAY_FGA,AWAY_FG3M,AWAY_FG3A,AWAY_OREB,AWAY_DREB,AWAY_FTM,AWAY_FTA,AWAY_REB,AWAY_AST,AWAY_TOV,AWAY_PLUS_MINUS,HOME_TEAM_WINS,home_last10_win_pct,away_last10_win_pct,last10_win_pct_diff,home_last10_opponent_avg_win_pct,away_last10_opponent_avg_win_pct,last10_opponent_avg_win_pct_diff,home_last10_adjusted,away_last10_adjusted,last10_adjusted_diff,home_last10_home_win_pct,away_last10_away_win_pct,home_away_form_diff,home_rest_days,away_rest_days,rest_diff,home_last10_pts_scored,away_last10_pts_scored,home_last10_pts_allowed,away_last10_pts_allowed,home_off_vs_away_def,away_off_vs_home_def,offensive_defensive_matchup_diff,off_def_matchup_diff,home_last10_efg,away_last10_efg,effective_fg_pct_diff,efg_diff,home_net_rating,away_net_rating,net_rating_diff,home_turnover_rate,away_turnover_rate,turnover_rate_diff
12200001,2022-09-30,2022-23,1610612764,Washington Wizards,87,L,31,84,6,35,7,37,19,30,44,20,14,-9.0,1610612744,Golden State Warriors,96,W,29,79,7,26,10,52,31,40,62,18,17,9.0,0,0.5,0.5,0.0,0.5,0.5,0.0,0.5,0.5,0.0,0.5,0.5,0.0,7,7,0,100.0,100.0,100.0,100.0,0.0,0.0,0.0,0.0,0.5,0.5,0.0,0.0,0.0,0.0,0.0,13.0,13.0,0.0
12200003,2022-10-01,2022-23,1610612749,Milwaukee Bucks,102,L,37,86,13,37,17,33,15,21,50,22,23,-5.0,1610612763,Memphis Grizzlies,107,W,38,77,10,28,10,31,21,29,41,25,22,5.0,0,0.5,0.5,0.0,0.5,0.5,0.0,0.5,0.5,0.0,0.5,0.5,0.0,7,7,0,100.0,100.0,100.0,100.0,0.0,0.0,0.0,0.0,0.5,0.5,0.0,0.0,0.0,0.0,0.0,13.0,13.0,0.0
12200004,2022-10-02,2022-23,1610612744,Golden State Warriors,104,W,38,83,16,39,11,36,12,18,47,29,22,9.0,1610612764,Washington Wizards,95,L,30,85,8,33,12,34,27,30,46,23,16,-9.0,1,1.0,0.0,1.0,0.5,0.5,0.0,1.0,0.0,1.0,0.5,0.5,0.0,2,2,0,96.0,87.0,87.0,96.0,0.0,0.0,0.0,0.0,0.41139240506329117,0.40476190476190477,0.0066305003013863995,0.0066305003013863995,9.170810514380577,-9.170810514380577,18.341621028761153,16.40926640926641,13.435700575815739,2.9735658334506727
12200005,2022-10-02,2022-23,1610612738,Boston Celtics,134,W,48,84,22,47,8,48,16,20,56,41,23,41.0,1610612766,Charlotte Hornets,93,L,35,101,5,33,16,27,18,28,43,13,13,-41.0,1,0.5,0.5,0.0,0.5,0.5,0.0,0.5,0.5,0.0,0.5,0.5,0.0,7,7,0,100.0,100.0,100.0,100.0,0.0,0.0,0.0,0.0,0.5,0.5,0.0,0.0,0.0,0.0,0.0,13.0,13.0,0.0
12200006,2022-10-02,2022-23,1610612761,Toronto Raptors,114,W,42,87,12,32,13,48,18,27,61,20,23,32.0,1610612762,Utah Jazz,82,L,31,96,10,40,12,34,10,17,46,21,21,-32.0,1,0.5,0.5,0.0,0.5,0.5,0.0,0.5,0.5,0.0,0.5,0.5,0.0,7,7,0,100.0,100.0,100.0,100.0,0.0,0.0,0.0,0.0,0.5,0.5,0.0,0.0,0.0,0.0,0.0,13.0,13.0,0.0
12200007,2022-10-02,2022-23,1610612745,Houston Rockets,134,W,53,97,16,35,15,45,12,22,60,32,20,38.0,1610612759,San Antonio Spurs,96,L,33,93,11,42,17,27,19,29,44,21,18,-38.0,1,0.5,0.5,0.0,0.5,0.5,0.0,0.5,0.5,0.0,0.5,0.5,0.0,7,7,0,100.0,100.0,100.0,100.0,0.0,0.0,0.0,0.0,0.5,0.5,0.0,0.0,0.0,0.0,0.0,13.0,13.0,0.0
12200009,2022-10-03,2022-23,1610612751,Brooklyn Nets,108,L,36,78,11,33,8,35,25,34,43,25,27,-19.0,1610612755,Philadelphia 76ers,127,W,44,108,15,44,22,34,24,25,56,26,16,19.0,0,0.5,0.5,0.0,0.5,0.5,0.0,0.5,0.5,0.0,0.5,0.5,0.0,7,7,0,100.0,100.0,100.0,100.0,0.0,0.0,0.0,0.0,0.5,0.5,0.0,0.0,0.0,0.0,0.0,13.0,13.0,0.0
12200010,2022-10-03,2022-23,1610612763,Memphis Grizzlies,109,W,36,82,10,36,9,41,27,34,50,27,25,12.0,1610612753,Orlando Magic,97,L,35,89,18,54,8,30,9,13,38,23,23,-12.0,1,1.0,0.5,0.5,0.5,0.5,0.0,1.0,0.5,0.5,0.5,0.5,0.0,2,7,-5,107.0,100.0,102.0,100.0,7.0,-2.0,9.0,9.0,0.5584415584415584,0.5,0.058441558441558406,0.058441558441558406,4.398679642868657,0.0,4.398679642868657,21.61949685534591,13.0,8.619496855345911
12200011,2022-10-03,2022-23,1610612743,Denver Nuggets,101,L,37,90,10,33,11,32,17,23,43,20,17,-11.0,1610612760,Oklahoma City Thunder,112,W,41,84,13,35,13,39,17,25,52,25,21,11.0,0,0.5,0.5,0.0,0.5,0.5,0.0,0.5,0.5,0.0,0.5,0.5,0.0,7,7,0,100.0,100.0,100.0,100.0,0.0,0.0,0.0,0.0,0.5,0.5,0.0,0.0,0.0,0.0,0.0,13.0,13.0,0.0
12200012,2022-10-03,2022-23,1610612747,Los Angeles Lakers,75,L,24,77,7,30,8,41,20,32,49,17,20,-30.0,1610612758,Sacramento Kings,105,W,42,103,9,39,15,39,12,19,54,25,7,30.0,0,0.5,0.5,0.0,0.5,0.5,0.0,0.5,0.5,0.0,0.5,0.5,0.0,7,7,0,100.0,100.0,100.0,100.0,0.0,0.0,0.0,0.0,0.5,0.5,0.0,0.0,0.0,0.0,0.0,13.0,13.0,0.0
12200013,2022-10-03,2022-23,1610612746,Los Angeles Clippers,102,W,31,81,15,38,8,36,25,33,44,21,13,5.0,1610612757,Portland Trail Blazers,97,L,31,78,8,28,8,38,27,35,46,18,16,-5.0,1,0.5,0.5,0.0,0.5,0.5,0.0,0.5,0.5,0.0,0.5,0.5,0.0,7,7,0,100.0,100.0,100.0,100.0,0.0,0.0,0.0,0.0,0.5,0.5,0.0,0.0,0.0,0.0,0.0,13.0,13.0,0.0
12200014,2022-10-04,2022-23,1610612752,New York Knicks,117,W,46,90,14,37,6,36,11,15,42,27,13,21.0,1610612765,Detroit Pistons,96,L,33,81,13,42,8,36,17,23,44,19,21,-21.0,1,0.5,0.5,0.0,0.5,0.5,0.0,0.5,0.5,0.0,0.5,0.5,0.0,7,7,0,100.0,100.0,100.0,100.0,0.0,0.0,0.0,0.0,0.5,0.5,0.0,0.0,0.0,0.0,0.0,13.0,13.0,0.0
12200015,2022-10-04,2022-23,1610612748,Miami Heat,111,L,42,98,10,35,16,33,17,18,49,25,15,-10.0,1610612750,Minnesota Timberwolves,121,W,41,80,13,33,5,34,26,35,39,22,13,10.0,0,0.5,0.5,0.0,0.5,0.5,0.0,0.5,0.5,0.0,0.5,0.5,0.0,7,7,0,100.0,100.0,100.0,100.0,0.0,0.0,0.0,0.0,0.5,0.5,0.0,0.0,0.0,0.0,0.0,13.0,13.0,0.0
12200016,2022-10-04,2022-23,1610612741,Chicago Bulls,125,L,43,89,9,27,12,34,30,34,46,27,26,-4.0,1610612740,New Orleans Pelicans,129,W,46,93,11,37,15,29,26,36,44,29,22,4.0,0,0.5,0.5,0.0,0.5,0.5,0.0,0.5,0.5,0.0,0.5,0.5,0.0,7,7,0,100.0,100.0,100.0,100.0,0.0,0.0,0.0,0.0,0.5,0.5,0.0,0.0,0.0,0.0,0.0,13.0,13.0,0.0
12200017,2022-10-04,2022-23,1610612757,Portland Trail Blazers,101,L,36,81,11,32,10,28,18,29,38,21,17,-17.0,1610612762,Utah Jazz,118,W,39,81,15,33,15,30,25,37,45,24,19,17.0,0,0.0,0.0,0.0,0.5,0.5,0.0,0.0,0.0,0.0,0.5,0.0,0.5,1,2,-1,97.0,82.0,102.0,114.0,-17.0,-20.0,3.0,3.0,0.44871794871794873,0.375,0.07371794871794873,0.07371794871794873,-5.811594305273346,-31.800575470090934,25.988981164817588,15.779092702169624,18.669985775248932,-2.890893073079308
12200018,2022-10-05,2022-23,1610612766,Charlotte Hornets,97,L,33,96,9,43,16,33,22,36,49,20,17,-37.2,1610612754,Indiana Pacers,122,W,45,93,6,30,7,46,26,27,53,27,19,31.4,0,0.0,0.5,-0.5,0.5,0.5,0.0,0.0,0.5,-0.5,0.5,0.5,0.0,3,7,-4,93.0,100.0,134.0,100.0,-7.0,-34.0,27.0,27.0,0.3712871287128713,0.5,-0.12871287128712872,-0.12871287128712872,-40.0040496124615,0.0,-40.0040496124615,11.783901377810007,13.0,-1.2160986221899925
12200019,2022-10-05,2022-23,1610612755,Philadelphia 76ers,113,W,46,96,9,31,11,35,12,16,46,26,15,1.0,1610612739,Cleveland Cavaliers,112,L,42,91,14,33,7,36,14,19,43,22,16,-1.0,1,1.0,0.5,0.5,0.5,0.5,0.0,1.0,0.5,0.5,0.5,0.5,0.0,2,7,-5,127.0,100.0,108.0,100.0,27.0,-8.0,35.0,35.0,0.47685185185185186,0.5,-0.02314814814814814,-0.02314814814814814,15.926358022934878,0.0,15.926358022934878,14.15929203539823,13.0,1.1592920353982308
